sh_L0293	2016-02-02	THE IDOLM@STER十週年台北國際電玩展特別舞台活動（Taipei Game Show 2016）	THE IDOLM@STER十週年台北國際電玩展特別舞台活動（Taipei Game Show 2016）	台北・台北世界貿易中心展覽一館	
sh_L0296	2016-02-20	THE IDOLM@STER ＆ CINDERELLA GIRLS TALK ＆ LIVE STAGE in C3 Hong Kong（C3日本動玩博覽2016）	THE IDOLM@STER ＆ CINDERELLA GIRLS TALK ＆ LIVE STAGE in C3 Hong Kong（C3日本動玩博覽2016）	香港・香港會議展覽中心	
sh_L0305	2016-04-08	Face to Face with Asami Shimoda（Kawaii Kon 2016内イベント）	Face to Face with Asami Shimoda（Kawaii Kon 2016内イベント）	ホノルル・Hawaii Convention Center	
sh_L0320	2016-07-24	THE IDOLM@STER STATION!!! Summer Night Party!!!	THE IDOLM@STER STATION!!! Summer Night Party!!!	神奈川・横浜ベイホール	
sh_L0322	2016-08-06	THE IDOLM@STER PLATINUM STARS スペシャルステージ（「偶像大師白金星光」特別舞台活動・PlayStation Festival内イベント）	THE IDOLM@STER PLATINUM STARS スペシャルステージ（「偶像大師白金星光」特別舞台活動・PlayStation Festival内イベント）	台北・Clapper Studio（三創生活園區五樓）	
sh_L0329	2016-09-24	「アイドルマスター プラチナスターズ」SPECIAL PARTY	「アイドルマスター プラチナスターズ」SPECIAL PARTY	東京・山野ホール	
sh_L0348	2017-01-28	THE IDOLM@STER PRODUCER MEETING 2017 765PRO ALLSTARS -Fun to the new vision!!-	DAY1	東京・東京体育館	
sh_L0349	2017-01-29	THE IDOLM@STER PRODUCER MEETING 2017 765PRO ALLSTARS -Fun to the new vision!!-	DAY2	東京・東京体育館	
sh_L0350	2017-02-10	THE IDOLM@STER 765 MILLIONSTARS in C3 Hong Kong	THE IDOLM@STER 765 MILLIONSTARS in C3 Hong Kong	香港・香港會議展覽中心	
sh_L0367	2017-04-22	THE IDOLM@STER 765 MILLIONSTARS First Time in TAIWAN	DAY1	台北・TICC台北国際会議センター	
sh_L0368	2017-04-23	THE IDOLM@STER 765 MILLIONSTARS First Time in TAIWAN	DAY2	台北・TICC台北国際会議センター	
sh_L0396	2017-10-07	THE IDOLM@STER 765 MILLIONSTARS HOTCHPOTCH FESTIV@L!!	DAY1	東京・日本武道館	
sh_L0397	2017-10-08	THE IDOLM@STER 765 MILLIONSTARS HOTCHPOTCH FESTIV@L!!	DAY2	東京・日本武道館	
sh_L0406	2017-12-16	THE IDOLM@STER STATION!!! WINTER PREMIUM PARTY!!!	THE IDOLM@STER STATION!!! WINTER PREMIUM PARTY!!!	東京・白金高輪SELENE b2	
sh_L0412	2018-01-06	THE IDOLM@STER ニューイヤーライブ!! 初星宴舞	DAY1	千葉・幕張メッセイベントホール	
sh_L0413	2018-01-07	THE IDOLM@STER ニューイヤーライブ!! 初星宴舞	DAY2	千葉・幕張メッセイベントホール	
sh_L0437	2018-04-30	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第一部(4/30日替わり主演アイドル：天海春香)	神奈川・DMM VR THEATER	
sh_L0438	2018-04-30	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第二部(4/30日替わり主演アイドル：天海春香)	神奈川・DMM VR THEATER	
sh_L0439	2018-04-30	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第三部(4/30日替わり主演アイドル：天海春香)	神奈川・DMM VR THEATER	
sh_L0442	2018-05-01	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第一部(5/1日替わり主演アイドル：菊地真)	神奈川・DMM VR THEATER	
sh_L0443	2018-05-01	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第二部(5/1日替わり主演アイドル：菊地真)	神奈川・DMM VR THEATER	
sh_L0444	2018-05-01	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第三部(5/1日替わり主演アイドル：菊地真)	神奈川・DMM VR THEATER	
sh_L0445	2018-05-02	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第一部(5/2日替わり主演アイドル：天海春香)	神奈川・DMM VR THEATER	
sh_L0446	2018-05-02	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第二部(5/2日替わり主演アイドル：天海春香)	神奈川・DMM VR THEATER	
sh_L0447	2018-05-02	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第三部(5/2日替わり主演アイドル：天海春香)	神奈川・DMM VR THEATER	
sh_L0448	2018-05-03	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第一部(5/3日替わり主演アイドル：四条貴音)	神奈川・DMM VR THEATER	
sh_L0449	2018-05-03	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第二部(5/3日替わり主演アイドル：四条貴音)	神奈川・DMM VR THEATER	
sh_L0450	2018-05-03	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第三部(5/3日替わり主演アイドル：四条貴音)	神奈川・DMM VR THEATER	
sh_L0451	2018-05-04	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第一部(5/4日替わり主演アイドル：菊地真)	神奈川・DMM VR THEATER	
sh_L0452	2018-05-04	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第二部(5/4日替わり主演アイドル：菊地真)	神奈川・DMM VR THEATER	
sh_L0453	2018-05-04	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第三部(5/4日替わり主演アイドル：菊地真)	神奈川・DMM VR THEATER	
sh_L0454	2018-05-05	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第一部(5/5日替わり主演アイドル：萩原雪歩)	神奈川・DMM VR THEATER	
sh_L0455	2018-05-05	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第二部(5/5日替わり主演アイドル：萩原雪歩)	神奈川・DMM VR THEATER	
sh_L0456	2018-05-05	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第三部(5/5日替わり主演アイドル：萩原雪歩)	神奈川・DMM VR THEATER	
sh_L0457	2018-05-06	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第一部(5/6日替わり主演アイドル：我那覇響)	神奈川・DMM VR THEATER	
sh_L0458	2018-05-06	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第二部(5/6日替わり主演アイドル：我那覇響)	神奈川・DMM VR THEATER	
sh_L0459	2018-05-06	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第三部(5/6日替わり主演アイドル：我那覇響)	神奈川・DMM VR THEATER	
sh_L0460	2018-05-11	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第一部(5/11日替わり主演アイドル：菊地真)	神奈川・DMM VR THEATER	
sh_L0461	2018-05-11	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第二部(5/11日替わり主演アイドル：菊地真)	神奈川・DMM VR THEATER	
sh_L0462	2018-05-11	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第三部(5/11日替わり主演アイドル：菊地真)	神奈川・DMM VR THEATER	
sh_L0463	2018-05-12	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第一部(5/12日替わり主演アイドル：如月千早)	神奈川・DMM VR THEATER	
sh_L0464	2018-05-12	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第二部(5/12日替わり主演アイドル：如月千早)	神奈川・DMM VR THEATER	
sh_L0465	2018-05-12	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第三部(5/12日替わり主演アイドル：如月千早)	神奈川・DMM VR THEATER	
sh_L0466	2018-05-13	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第一部(5/13日替わり主演アイドル：我那覇響)	神奈川・DMM VR THEATER	
sh_L0467	2018-05-13	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第二部(5/13日替わり主演アイドル：我那覇響)	神奈川・DMM VR THEATER	
sh_L0468	2018-05-13	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第三部(5/13日替わり主演アイドル：我那覇響)	神奈川・DMM VR THEATER	
sh_L0470	2018-05-18	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第一部(5/18日替わり主演アイドル：如月千早)	神奈川・DMM VR THEATER	
sh_L0471	2018-05-18	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第二部(5/18日替わり主演アイドル：如月千早)	神奈川・DMM VR THEATER	
sh_L0472	2018-05-18	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第三部(5/18日替わり主演アイドル：如月千早)	神奈川・DMM VR THEATER	
sh_L0473	2018-05-19	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第一部(5/19日替わり主演アイドル：我那覇響)	神奈川・DMM VR THEATER	
sh_L0474	2018-05-19	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第二部(5/19日替わり主演アイドル：我那覇響)	神奈川・DMM VR THEATER	
sh_L0475	2018-05-19	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第三部(5/19日替わり主演アイドル：我那覇響)	神奈川・DMM VR THEATER	
sh_L0476	2018-05-20	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第一部(5/20日替わり主演アイドル：四条貴音)	神奈川・DMM VR THEATER	
sh_L0477	2018-05-20	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第二部(5/20日替わり主演アイドル：四条貴音)	神奈川・DMM VR THEATER	
sh_L0478	2018-05-20	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第三部(5/20日替わり主演アイドル：四条貴音)	神奈川・DMM VR THEATER	
sh_L0479	2018-05-25	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第一部(5/25日替わり主演アイドル：四条貴音)	神奈川・DMM VR THEATER	
sh_L0480	2018-05-25	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第二部(5/25日替わり主演アイドル：四条貴音)	神奈川・DMM VR THEATER	
sh_L0481	2018-05-25	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第三部(5/25日替わり主演アイドル：四条貴音)	神奈川・DMM VR THEATER	
sh_L0482	2018-05-26	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第一部(5/26日替わり主演アイドル：萩原雪歩)	神奈川・DMM VR THEATER	
sh_L0483	2018-05-26	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第二部(5/26日替わり主演アイドル：萩原雪歩)	神奈川・DMM VR THEATER	
sh_L0484	2018-05-26	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第三部(5/26日替わり主演アイドル：萩原雪歩)	神奈川・DMM VR THEATER	
sh_L0485	2018-05-27	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第一部(5/27日替わり主演アイドル：如月千早)	神奈川・DMM VR THEATER	
sh_L0486	2018-05-27	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第二部(5/27日替わり主演アイドル：如月千早)	神奈川・DMM VR THEATER	
sh_L0487	2018-05-27	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆第三部(5/27日替わり主演アイドル：如月千早)	神奈川・DMM VR THEATER	
sh_L0502	2018-08-04	THE IDOLM@STER PRODUCER MEETING 2018 What is TOP!!!!!!!!!!!!!?	DAY1	千葉・幕張メッセイベントホール	
sh_L0503	2018-08-05	THE IDOLM@STER PRODUCER MEETING 2018 What is TOP!!!!!!!!!!!!!?	DAY2	千葉・幕張メッセイベントホール	
sh_L0515	2018-09-15	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第一部(9/15日替わり主演アイドル：萩原雪歩)	神奈川・DMM VR THEATER	
sh_L0516	2018-09-15	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第二部(9/15日替わり主演アイドル：萩原雪歩)	神奈川・DMM VR THEATER	
sh_L0517	2018-09-15	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第三部(9/15日替わり主演アイドル：萩原雪歩)	神奈川・DMM VR THEATER	
sh_L0518	2018-09-16	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第一部(9/16日替わり主演アイドル：秋月律子)	神奈川・DMM VR THEATER	
sh_L0519	2018-09-16	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第二部(9/16日替わり主演アイドル：秋月律子)	神奈川・DMM VR THEATER	
sh_L0520	2018-09-16	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第三部(9/16日替わり主演アイドル：秋月律子)	神奈川・DMM VR THEATER	
sh_L0521	2018-09-17	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第一部(9/17日替わり主演アイドル：高槻やよい)	神奈川・DMM VR THEATER	
sh_L0522	2018-09-17	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第二部(9/17日替わり主演アイドル：高槻やよい)	神奈川・DMM VR THEATER	
sh_L0523	2018-09-17	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第三部(9/17日替わり主演アイドル：高槻やよい)	神奈川・DMM VR THEATER	
sh_L0525	2018-09-22	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第一部(9/22日替わり主演アイドル：萩原雪歩)	神奈川・DMM VR THEATER	
sh_L0526	2018-09-22	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第二部(9/22日替わり主演アイドル：萩原雪歩)	神奈川・DMM VR THEATER	
sh_L0527	2018-09-22	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第三部(9/22日替わり主演アイドル：萩原雪歩)	神奈川・DMM VR THEATER	
sh_L0528	2018-09-23	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第一部(9/23日替わり主演アイドル：秋月律子)	神奈川・DMM VR THEATER	
sh_L0529	2018-09-23	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第二部(9/23日替わり主演アイドル：秋月律子)	神奈川・DMM VR THEATER	
sh_L0530	2018-09-23	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第三部(9/23日替わり主演アイドル：秋月律子)	神奈川・DMM VR THEATER	
