sh_L0897	2024-03-31	PROJECT IM@S vα-liv LIVE -THE LAST STATEMENT!!!-	PROJECT IM@S vα-liv LIVE -THE LAST STATEMENT!!!-	リアルタイム配信(配信:ASOBISTAGE / 会場:？？？)	リアルタイム配信(配信:ASOBISTAGE / 会場:？？？)
sh_L0915	2024-06-22	FUURYUUFES 5.0 2024	FUURYUUFES 5.0 2024	神奈川・Kアリーナ横浜	
sh_L0943	2024-09-06	Life Like a Live!8	Life Like a Live!8 第一公演（えるすりー8 第一公演）	オンライン配信・Z-aN	オンライン配信・Z-aN
sh_L0946	2024-09-08	Life Like a Live!8	Life Like a Live!8 第四公演（えるすりー8 第四公演）	オンライン配信・Z-aN	オンライン配信・Z-aN
sh_L0947	2024-09-08	Life Like a Live!8	Life Like a Live!8 第五公演（えるすりー8 第五公演）	オンライン配信・Z-aN	オンライン配信・Z-aN
sh_L0991	2024-12-14	アイマスエキスポ ヴイアラSPソロステージ	DAY1)	千葉・幕張メッセ 国際展示場 展示ホール 1～2 エキスポステージ	
sh_L0992	2024-12-14	アイマスエキスポ ヴイアラSPソロステージ	DAY1)	千葉・幕張メッセ 国際展示場 展示ホール 1～2 エキスポステージ	
sh_L0993	2024-12-14	アイマスエキスポ ヴイアラSPソロステージ	DAY1)	千葉・幕張メッセ 国際展示場 展示ホール 1～2 エキスポステージ	
sh_L0999	2024-12-15	アイマスエキスポ ヴイアラSPソロステージ	DAY2)	千葉・幕張メッセ 国際展示場 展示ホール 1～2 エキスポステージ	
sh_L1000	2024-12-15	アイマスエキスポ ヴイアラSPソロステージ	DAY2)	千葉・幕張メッセ 国際展示場 展示ホール 1～2 エキスポステージ	
sh_L1001	2024-12-15	アイマスエキスポ ヴイアラSPソロステージ	DAY2)	千葉・幕張メッセ 国際展示場 展示ホール 1～2 エキスポステージ	
sh_L1022	2025-01-26	Virtual Music Award 2025	DAY2 昼公演	リアルタイム配信・Z-aN	リアルタイム配信・Z-aN
sh_L1023	2025-01-26	Virtual Music Award 2025	DAY2 夜公演	リアルタイム配信・Z-aN	リアルタイム配信・Z-aN
sh_L1034	2025-02-09	vα-liv Special Stage in ILLUSTAR	vα-liv Special Stage in ILLUSTAR	ソウル・KINTEX 第1展示場 2,3ホール (KINTEX 제 1전시장 2, 3홀)	
sh_L1051	2025-03-09	Lemino presents ULTRA ANIME FES 2025 DAY 02	Lemino presents ULTRA ANIME FES 2025 DAY 02	神奈川・ぴあアリーナMM	
sh_L1055	2025-03-14	Life Like a Live!9	夜公演）	オンライン配信・Z-aN	オンライン配信・Z-aN
sh_L1059	2025-03-16	Life Like a Live!9	昼公演）	リアルタイム配信・Z-aN	リアルタイム配信・Z-aN
sh_L1060	2025-03-16	Life Like a Live!9	夜公演）	リアルタイム配信・Z-aN	リアルタイム配信・Z-aN
sh_L1062	2025-03-22	PROJECT IM@S vα-liv 1stLIVE -HERE WE ARE!!!-	PROJECT IM@S vα-liv 1stLIVE -HERE WE ARE!!!-	東京・Zepp DiverCity TOKYO	
sh_L1093	2025-06-09	vortex CORE	DAY1	リアルタイム配信・zaiko(オンライン)	リアルタイム配信・zaiko(オンライン)
sh_L1094	2025-06-10	vortex CORE	DAY2	リアルタイム配信・zaiko(オンライン)	リアルタイム配信・zaiko(オンライン)
sh_L1095	2025-06-11	vortex CORE	DAY3	リアルタイム配信・zaiko(オンライン)	リアルタイム配信・zaiko(オンライン)
sh_L1105	2025-07-01	灯里愛夏 BIRTHDAY ONLINE LIVE 2025	灯里愛夏 BIRTHDAY ONLINE LIVE 2025	ASOBI STAGE、東京・アニメイトシアター	ASOBI STAGE
sh_L1127	2025-07-27	Virtual Music Award 2025 SUMMER 第五公演	Virtual Music Award 2025 SUMMER 第五公演	リアルタイム配信・Z-aN	リアルタイム配信・Z-aN
sh_L1133	2025-08-01	MIX TOKYO DJ PARTY 04	MIX TOKYO DJ PARTY 04	東京・namco TOKYO	
sh_L1153	2025-09-12	上水流宇宙 BIRTHDAY ONLINE LIVE 2025	上水流宇宙 BIRTHDAY ONLINE LIVE 2025	配信：ASOBI STAGE、LV会場：東京・アニメイトシアター	ASOBI STAGE
sh_L1156	2025-09-15	GRAYSCALE -MAGENTA-	GRAYSCALE -MAGENTA-	大阪・Yogibo META VALLEY	
sh_L1171	2025-10-10	Life Like a Live!10	Life Like a Live!10 第一公演	オンライン配信・Z-aN	オンライン配信・Z-aN
sh_L1175	2025-10-12	Life Like a Live!10	Life Like a Live!10 第五公演	オンライン配信・Z-aN	オンライン配信・Z-aN
sh_L1176	2025-10-12	AniRAVE Halloween!!!!!	AniRAVE Halloween!!!!!	東京・WARP SHINJUKU	
sh_L1184	2025-10-31	Life Like a Live!10	Life Like a Live!10+ 第十公演	オンライン配信・Z-aN	オンライン配信・Z-aN
sh_L1186	2025-11-11	レトラ BIRTHDAY ONLINE LIVE 2025	レトラ BIRTHDAY ONLINE LIVE 2025	配信：ASOBI STAGE、LV会場：東京・アニメイトシアター	ASOBI STAGE
sh_L1204	2025-12-05	MIX TOKYO DJ PARTY 06	MIX TOKYO DJ PARTY 06	東京・namco TOKYO	
sh_L1206	2025-12-07	AniRAVE MERRY TIME!!!	AniRAVE MERRY TIME!!!	東京・WARP SHINJUKU	
sh_L1233	2026-02-08	涼風しとら×レトラ 虛擬線下演唱會 in 開拓動漫祭 Fancy Frontier46	涼風しとら×レトラ 虛擬線下演唱會 in 開拓動漫祭 Fancy Frontier46	台北・花博爭豔館	
sh_L1237	2026-02-15	SANRIO VIRTUAL FESTIVAL (2026) 2/15(sun)	SANRIO VIRTUAL FESTIVAL (2026) 2/15(sun)	Virtual Sanrio Puroland（VRChat）、オンライン配信Lemino、SPWN	Virtual Sanrio Puroland（VRChat）、オンライン配信Lemino、SPWN
sh_L1238	2026-02-21	PROJECT IM@S vα-liv 2ndLIVE -BEYOND THE CUSTOM !!!-	PROJECT IM@S vα-liv 2ndLIVE -BEYOND THE CUSTOM !!!-	東京・日本工学院アリーナ	
sh_L1239	2026-02-22	THE IDOLM@STER Dearly Stars -Dearly, Dearly MEETING !!!-	THE IDOLM@STER Dearly Stars -Dearly, Dearly MEETING !!!-	東京・日本工学院アリーナ	
sh_L1240	2026-02-23	Dearly Stars×vα-liv LIVE -UNDER ONE SKY !!!!!!-	昼公演	東京・日本工学院アリーナ	
sh_L1241	2026-02-23	Dearly Stars×vα-liv LIVE -UNDER ONE SKY !!!!!!-	夜公演	東京・日本工学院アリーナ	
sh_上水流宇宙_birthday_online_live_2026_1	2026-09-12	上水流宇宙 BIRTHDAY ONLINE LIVE 2026	上水流宇宙 BIRTHDAY ONLINE LIVE 2026	配信：ASOBI STAGE、LV会場：東京・ユナイテッド・シネマ アクアシティお台場 [3番スクリーン]	
