sh_L0924	2024-08-10	学園アイドルマスター DEBUT LIVE 初 TOUR -初声公演- 名古屋クラブクアトロ公演	学園アイドルマスター DEBUT LIVE 初 TOUR -初声公演- 名古屋クラブクアトロ公演	愛知・名古屋クラブクアトロ	
sh_L0927	2024-08-18	学園アイドルマスター DEBUT LIVE 初 TOUR -初声公演- 梅田クラブクアトロ公演	昼の部	大阪・梅田クラブクアトロ	
sh_L0928	2024-08-18	学園アイドルマスター DEBUT LIVE 初 TOUR -初声公演- 梅田クラブクアトロ公演	夜の部	大阪・梅田クラブクアトロ	
sh_L0932	2024-08-25	学園アイドルマスター DEBUT LIVE 初 TOUR -初声公演- 渋谷クラブクアトロ公演	昼の部	東京・渋谷クラブクアトロ	
sh_L0934	2024-08-25	学園アイドルマスター DEBUT LIVE 初 TOUR -初声公演- 渋谷クラブクアトロ公演	夜の部	東京・渋谷クラブクアトロ	
sh_L0944	2024-09-07	学園アイドルマスター DEBUT LIVE 初 TOUR -初心公演- 名古屋クラブクアトロ公演	昼の部	愛知・名古屋クラブクアトロ	
sh_L0945	2024-09-07	学園アイドルマスター DEBUT LIVE 初 TOUR -初心公演- 名古屋クラブクアトロ公演	夜の部	愛知・名古屋クラブクアトロ	
sh_L0953	2024-09-23	学園アイドルマスター DEBUT LIVE 初 TOUR -初心公演- 広島クラブクアトロ公演	昼の部	広島・広島クラブクアトロ	
sh_L0954	2024-09-23	学園アイドルマスター DEBUT LIVE 初 TOUR -初心公演- 広島クラブクアトロ公演	夜の部	広島・広島クラブクアトロ	
sh_L0961	2024-10-14	学園アイドルマスター DEBUT LIVE 初 TOUR -初恋公演- 梅田クラブクアトロ公演	昼の部	大阪・梅田クラブクアトロ	
sh_L0962	2024-10-14	学園アイドルマスター DEBUT LIVE 初 TOUR -初恋公演- 梅田クラブクアトロ公演	夜の部	大阪・梅田クラブクアトロ	
sh_L0963	2024-10-19	学園アイドルマスター DEBUT LIVE 初 TOUR -初恋公演- 広島クラブクアトロ公演	昼の部	広島・広島クラブクアトロ	
sh_L0964	2024-10-19	学園アイドルマスター DEBUT LIVE 初 TOUR -初恋公演- 広島クラブクアトロ公演	夜の部	広島・広島クラブクアトロ	
sh_L0969	2024-10-27	学園アイドルマスター DEBUT LIVE 初 TOUR -初恋公演- 渋谷クラブクアトロ公演	昼の部	東京・渋谷クラブクアトロ	
sh_L0970	2024-10-27	学園アイドルマスター DEBUT LIVE 初 TOUR -初恋公演- 渋谷クラブクアトロ公演	夜の部	東京・渋谷クラブクアトロ	
sh_L0985	2024-12-01	学園アイドルマスター DEBUT LIVE 初 TOUR -初心公演- 梅田クラブクアトロ公演	昼の部	大阪・梅田クラブクアトロ	
sh_L0986	2024-12-01	学園アイドルマスター DEBUT LIVE 初 TOUR -初心公演- 梅田クラブクアトロ公演	夜の部	大阪・梅田クラブクアトロ	
sh_L1031	2025-02-08	学園アイドルマスター DEBUT LIVE 初 TOUR -初陣公演- 名古屋クラブクアトロ公演	昼の部	愛知・名古屋クラブクアトロ	
sh_L1032	2025-02-08	学園アイドルマスター DEBUT LIVE 初 TOUR -初陣公演- 名古屋クラブクアトロ公演	夜の部	愛知・名古屋クラブクアトロ	
sh_L1037	2025-02-11	学園アイドルマスター DEBUT LIVE 初 TOUR -初陣公演- 梅田クラブクアトロ公演	昼の部	大阪・梅田クラブクアトロ	
sh_L1038	2025-02-11	学園アイドルマスター DEBUT LIVE 初 TOUR -初陣公演- 梅田クラブクアトロ公演	夜の部	大阪・梅田クラブクアトロ	
sh_L1042	2025-02-16	学園アイドルマスター DEBUT LIVE 初 TOUR -初陣公演- 渋谷クラブクアトロ公演	昼の部	東京・渋谷クラブクアトロ	
sh_L1043	2025-02-16	学園アイドルマスター DEBUT LIVE 初 TOUR -初陣公演- 渋谷クラブクアトロ公演	夜の部	東京・渋谷クラブクアトロ	
