sh_L0314	2016-04-30	MONACAフェス2016	MONACAフェス2016	埼玉・大宮ソニックシティ大ホール	
sh_L0362	2017-03-25	AJ NIGHT 2017	AJ NIGHT 2017	東京・豊洲PIT	
sh_L0625	2019-10-19	バンダイナムコエンターテインメントフェスティバル	DAY1	東京・東京ドーム	
sh_L0626	2019-10-20	バンダイナムコエンターテインメントフェスティバル	DAY2	東京・東京ドーム	
sh_L0636	2020-01-19	ミリシタ感謝祭 2019〜2020	ミリシタ感謝祭 2019〜2020	千葉・舞浜アンフィシアター	
sh_L0672	2021-02-07	「アイドルマスター ポップリンクス」ポプマス生配信 特別版！〜みんなでPOPLINKS TUNE!!!!! SP〜	「アイドルマスター ポップリンクス」ポプマス生配信 特別版！〜みんなでPOPLINKS TUNE!!!!! SP〜	リアルタイム配信(配信：ニコニコ生放送、YouTube、Periscope／会場：？？？)	リアルタイム配信(配信：ニコニコ生放送、YouTube、Periscope／会場：？？？)
sh_L0695	2021-07-11	「Bilibili World2021上海×日本特設会場」アイドルマスター特別ステージ	「Bilibili World2021上海×日本特設会場」アイドルマスター特別ステージ	リアルタイム配信(配信BiliBili／会場：？？？)	リアルタイム配信(配信BiliBili／会場：？？？)
sh_L0750	2022-05-14	バンダイナムコエンターテインメントフェスティバル 2nd	DAY1	千葉・ZOZOマリンスタジアム	
sh_L0751	2022-05-15	バンダイナムコエンターテインメントフェスティバル 2nd	DAY2	千葉・ZOZOマリンスタジアム	
sh_L0774	2022-07-03	xR ARTISTS SUPER FES 2022	DAY2	リアルタイム配信・一部事前収録(配信dTV、PIA LIVE STREAM、ASOBISTAGE、Streaming+、Veeps)	リアルタイム配信・一部事前収録(配信dTV、PIA LIVE STREAM、ASOBISTAGE、Streaming+、Veeps)
sh_L0865	2023-12-09	異次元フェス アイドルマスター★♥︎ラブライブ！歌合戦	DAY1	東京・東京ドーム	
sh_L0866	2023-12-10	異次元フェス アイドルマスター★♥︎ラブライブ！歌合戦	DAY2	東京・東京ドーム	
sh_L1008	2024-12-27	オールアイマス大感謝祭 〜2025年までもう待てない！生配信〜	オールアイマス大感謝祭 〜2025年までもう待てない！生配信〜	リアルタイム配信・YouTubeLive（アイドルマスターチャンネル）、ニコニコ生放送、X （旧:Twitter Live）	リアルタイム配信・YouTubeLive（アイドルマスターチャンネル）、ニコニコ生放送、X （旧:Twitter Live）
sh_L1044	2025-02-24	『アイドルマスター』シリーズ 全国プロデューサー検定	『アイドルマスター』シリーズ 全国プロデューサー検定【午前の部】	大阪・マイドームおおさか	
sh_L1045	2025-02-24	『アイドルマスター』シリーズ 全国プロデューサー検定	『アイドルマスター』シリーズ 全国プロデューサー検定【午後の部】	大阪・マイドームおおさか	
sh_L1066	2025-04-11	MaiNote Festival 2025	MaiNote Festival 2025	東京・Zepp DiverCity	
sh_L1143	2025-08-23	KIMCHIKURA Fes VOL.4	KIMCHIKURA Fes VOL.4	ソウル・YES24 LIVE HALL	
sh_kimchikura_fes_26_1	2026-08-08	KIMCHIKURA Fes '26	KIMCHIKURA Fes '26	Grand Peace Palace (慶熙大学, ソウル / 韓国)	
